sep=|
02:30 horas (UTC-6)
lunes 7 de diciembre de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
445|0|100.0000|441|4|37.6669

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PVEM|PT|NUEVA_ALIANZA|MORENA|PARTIDO_HUMANISTA|ENCUENTRO_SOCIAL|PAN_PANAL|PRI_PVEM|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
1|AGUASCALIENTES|1|JESUS MARIA|338|1|B|0|2|2|376|196|197|54|50|5|31|37|3|2|1|1|1|0|12|197|553| |1| |14f17d728332ba280d4dc8828d18ea858af3eb0541fdfa1462adf1e66a5384c5|2015-12-06 22:33:00.000|2015-12-06 23:05:05.163|2015-12-06 23:05:08.401|
1|AGUASCALIENTES|1|JESUS MARIA|338|1|C|0|2|2|367|202|206|70|49|3|20|42|4|8|2|Sin dato|2|0|6|206|553| |1| |7da5ebdc453f13945b8c634b3fb7a2c1da395d784b1fc89bbcb77b314d9be6cd|2015-12-06 22:34:00.000|2015-12-06 23:07:12.901|2015-12-06 23:07:16.044|
1|AGUASCALIENTES|1|JESUS MARIA|338|2|C|0|2|2|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|0|552| |1| |5a8cf117bed18af467fe4f701fea92f08b42228eeddf71ad0d14ac8018ec2f7d|2015-12-06 22:33:00.000|2015-12-06 23:02:59.628|2015-12-06 23:03:01.050|
1|AGUASCALIENTES|1|JESUS MARIA|339|1|B|0|2|2|343|186|187|51|49|5|24|42|2|2|2|2|0|0|8|187|510| |1| |d3e98e40552019988dd1ff248071b7e0be275b300e8d2fa0f8874d5628bd5d83|2015-12-06 22:35:00.000|2015-12-06 23:12:56.407|2015-12-06 23:12:59.773|
1|AGUASCALIENTES|1|JESUS MARIA|339|1|C|0|2|2|332|195|198|75|49|11|28|22|0|2|1|2|2|0|6|198|510| |1| |bf3e2321cef883ad93383bdd2cc69a7b0d26a57865e66b91b0298daac7d2cec1|2015-12-06 22:34:00.000|2015-12-06 23:07:28.680|2015-12-06 23:07:30.374|
1|AGUASCALIENTES|1|JESUS MARIA|339|2|C|0|2|2|323|201|206|71|66|6|29|20|2|0|2|2|3|0|5|206|509| |1| |56234b5ab1780aa01bdb48f6c30b970d5a7563263d574af4e05b2043153e8b87|2015-12-06 22:34:00.000|2015-12-06 23:08:24.531|2015-12-06 23:08:27.403|
1|AGUASCALIENTES|1|JESUS MARIA|340|1|B|0|2|2|276|256|258|73|16|9|21|56|0|8|0|4|4|0|7|198|514| |1| |b39efc34b82df9e03c1c1657eb15622fecf3a89ac00ba11c0c31f619661f14a5|2015-12-06 22:34:00.000|2015-12-06 23:11:36.192|2015-12-06 23:11:38.201|
1|AGUASCALIENTES|1|JESUS MARIA|340|1|C|0|2|2|297|244|246|65|89|4|12|62|Sin dato|3|Sin dato|3|2|0|6|246|513| |1| |067c0093556ff952d792bb714cef9f0b283c427f582fc5a9682ff3d6cb355f95|2015-12-06 22:36:00.000|2015-12-06 23:10:08.836|2015-12-06 23:10:10.696|
1|AGUASCALIENTES|1|JESUS MARIA|340|2|C|0|2|2|293|238|240|83|63|7|24|50|1|5|0|0|1|0|6|240|513| |1| |b5fbb6be66e380ec3cda74b7de73500b8adfcb3cfa920ad82fed618098793f5b|2015-12-06 22:36:00.000|2015-12-06 23:10:38.505|2015-12-06 23:10:39.967|
1|AGUASCALIENTES|1|JESUS MARIA|341|1|B|0|2|2|319|300|300|95|88|6|21|58|4|5|4|5|2|0|12|300|599| |1| |3728eb9d164ddf0e48813f5649a6d97b7c264ed50b5c5e24066a21bd241c0e81|2015-12-06 22:35:00.000|2015-12-06 23:06:28.765|2015-12-06 23:06:32.019|
