Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AADHYA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AALIYAH	6	13	17	23	22	26	19	19	25	24	19	19	21	28	28	23	22	26	22	19
AANYA	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0
AARYA	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	5
ABBEY	0	8	14	11	13	12	5	7	9	9	0	0	0	0	0	0	5	0	0	0
ABBIE	0	7	0	6	5	0	0	0	6	0	0	0	0	6	5	0	0	0	0	0
ABBIGAIL	5	0	0	7	0	0	7	6	9	6	10	7	8	5	0	0	0	0	0	0
ABBY	16	42	30	21	19	36	20	27	21	19	16	14	7	17	21	13	14	6	8	11
ABBYGAIL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ABIGAIL	64	85	82	95	118	118	120	114	150	132	122	141	126	112	134	151	153	129	133	97
ABIGALE	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABIGAYLE	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ABRIELLE	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ACACIA	0	0	6	9	0	6	0	0	5	5	0	0	5	7	8	0	0	0	0	0
ADA	8	0	0	0	0	7	0	8	9	8	11	10	12	12	14	14	19	9	20	23
ADALINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	8	14	11
ADALYN	0	0	0	0	0	0	0	0	0	0	0	8	9	10	12	18	21	14	7	14
ADALYNN	0	0	0	0	0	0	0	0	0	0	0	0	7	11	9	12	13	17	11	17
ADDILYN	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	5	7	5
ADDISON	0	0	0	0	6	13	15	69	63	73	63	70	54	64	62	45	61	58	37	49
ADDISYN	0	0	0	0	0	0	0	0	8	0	8	0	6	6	0	0	5	0	6	0
ADDYSON	0	0	0	0	0	0	6	5	0	11	11	13	5	0	0	5	6	0	0	0
ADELA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ADELAIDE	0	0	0	0	0	0	0	8	6	8	14	13	15	14	16	20	14	20	12	16
ADELE	0	0	0	0	0	0	0	0	0	0	5	11	10	11	12	8	10	7	8	6
ADELINA	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	7	7	0	8
ADELINE	0	0	0	0	0	5	0	0	0	8	6	8	5	10	5	28	26	26	30	29
ADELLE	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
ADELYN	0	0	0	0	0	0	0	0	0	6	6	0	5	10	22	16	18	18	20	15
ADELYNN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	5	6
ADIA	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADINA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADISON	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ADLEY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0
ADRIA	0	0	0	0	0	5	0	0	0	0	5	0	0	5	0	0	0	0	0	0
ADRIANA	10	7	11	10	11	15	7	5	16	18	8	14	17	15	7	17	14	11	15	5
ADRIANNA	7	6	0	7	8	16	7	10	14	21	13	13	15	15	9	14	6	5	15	5
ADRIANNE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRIENNE	7	12	0	0	6	0	0	5	0	0	7	0	5	8	7	0	0	0	0	0
AGNES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0
AIDA	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	0	9	0
AIDAN	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0
AIKAM	0	0	0	0	0	0	0	0	5	7	7	9	0	5	0	0	0	0	0	0
AIKO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AILA	0	0	0	0	0	0	0	0	0	8	0	0	6	8	0	7	10	8	7	9
AILEEN	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AILISH	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AIMEE	10	15	7	14	8	10	5	0	9	10	7	7	7	9	8	5	6	0	0	0
AINSLEY	6	8	11	13	10	7	14	14	14	17	22	17	19	10	20	24	15	14	9	16
AISHA	6	10	7	13	8	9	8	7	7	10	9	5	6	10	8	6	9	7	5	8
AISLINN	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AISLYNN	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
AIYANA	5	0	0	0	5	0	0	0	5	0	0	6	0	0	0	0	0	5	0	0
AIYANNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AIYLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AIZA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
AJA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJOONI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	6	7
AJUNI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AKASHA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKEMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKIKO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKIRA	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0
ALAIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ALAINA	6	0	0	0	0	0	0	0	6	9	8	8	0	7	5	6	6	6	0	7
ALANA	10	10	7	18	12	13	13	7	14	5	6	6	0	5	9	8	7	5	7	0
ALANAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALANNA	7	9	0	8	8	0	12	5	5	0	10	0	7	0	6	8	5	0	5	11
ALANNAH	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAYA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8
ALAYNA	0	0	5	0	7	0	5	0	6	7	10	0	6	9	8	11	10	7	11	11
ALBA	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0
ALBERTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEAH	0	0	0	0	5	0	0	0	6	7	8	9	0	0	11	5	0	0	0	5
ALECIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEENA	0	0	0	12	0	6	5	6	0	0	0	7	7	6	7	9	6	10	7	5
ALEESHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEISHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALENA	0	0	0	0	5	0	0	5	0	0	5	7	0	0	9	0	0	8	6	6
ALESHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALESSANDRA	0	0	0	0	0	5	0	9	0	0	5	5	13	10	7	10	6	10	10	6
ALESSIA	0	0	0	0	0	0	0	0	5	0	5	5	0	0	5	0	0	5	12	9
ALETA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALETHEA	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEX	7	0	0	5	6	7	5	0	0	5	0	0	0	0	0	0	0	0	0	0
ALEXA	34	27	34	41	44	35	46	39	46	54	53	59	50	43	28	42	26	29	22	7
ALEXANDRA	110	107	61	90	73	66	58	55	52	51	51	50	48	56	36	45	38	39	29	37
ALEXANDREA	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEXANDRIA	26	14	19	15	14	18	9	8	10	15	18	15	17	17	16	10	12	5	15	12
ALEXIA	12	11	12	10	9	5	6	8	14	9	5	9	9	10	7	0	0	7	0	0
ALEXIS	65	71	69	68	88	70	67	69	90	127	100	104	91	53	55	44	42	29	27	28
ALEXUS	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
